,timepoint,infection_count,Std,N,Missing,Seroprev,Std,N,Missing
0,7,0.008,0.00379685292408943,500,1,0.002,0.00137215385961152,500,1
1,14,0.008,0.00389612282343565,500,1,0.002,0.00199823554959113,500,1
2,21,0.008,0.00389585338713542,500,1,0,0.00253611725157964,500,1
3,28,0.014,0.00415551052645879,500,1,0.01,0.00294296909665747,500,1
4,35,0.014,0.00433035154254562,500,1,0.018,0.00333209106859457,500,1
5,42,0.016,0.00452473151381478,500,1,0.008,0.00369415382486745,500,1
6,49,0.004,0.00474926729254863,500,1,0.004,0.00409650170119006,500,1
7,56,0.01,0.00488180173455546,500,1,0.006,0.00448073915263075,500,1
8,63,0.02,0.00531125355044832,500,1,0.016,0.0048446558106498,500,1
9,70,0.018,0.0055691622273808,500,1,0.012,0.0052290538815497,500,1
10,77,0.018,0.00587292120903045,500,1,0.014,0.00560946872123159,500,1
11,84,0.024,0.00621045550151849,500,1,0.02,0.00606029990092094,500,1
12,91,0.018,0.00657851779266533,500,1,0.018,0.00649442078118681,500,1
13,98,0.022,0.00693851198243416,500,1,0.028,0.00695276171687319,500,1
14,105,0.024,0.00725995795634832,500,1,0.028,0.00741029972924871,500,1
15,112,0.028,0.00770255570180995,500,1,0.038,0.00788455900357327,500,1
16,119,0.036,0.00792739144816695,500,1,0.03,0.0083932540745316,500,1
17,126,0.028,0.00829024689331256,500,1,0.052,0.00887469644683406,500,1
18,133,0.022,0.0085037485508996,500,1,0.046,0.00939659849482927,500,1
19,140,0.034,0.00890233534138137,500,1,0.05,0.00990879976301583,500,1
20,147,0.032,0.00922241992511387,500,1,0.052,0.0104247958618911,500,1
21,154,0.044,0.00969904020692722,500,1,0.06,0.0109259964892353,500,1
22,161,0.066,0.0100577247990359,500,1,0.094,0.0114742934668845,500,1
23,168,0.058,0.0104502786046568,500,1,0.076,0.0120211118563015,500,1
24,175,0.056,0.0107950192089119,500,1,0.104,0.0125593740549143,500,1
25,182,0.07,0.0111295330639677,500,1,0.082,0.0131251830240499,500,1
26,189,0.074,0.0114804580222307,500,1,0.078,0.0136838013287222,500,1
27,196,0.058,0.0118836687095425,500,1,0.124,0.0142450013977491,500,1
28,203,0.086,0.0121468588271141,500,1,0.146,0.0147995498727662,500,1
29,210,0.088,0.0123742406501057,500,1,0.134,0.0153327071892441,500,1
30,217,0.09,0.0126485988932168,500,1,0.122,0.0158471798489027,500,1
31,224,0.108,0.0128466208226081,500,1,0.154,0.0163605022375433,500,1
32,231,0.1,0.0129309795590035,500,1,0.172,0.0168762947889088,500,1
33,238,0.114,0.0131758181653137,500,1,0.188,0.017337039992812,500,1
34,245,0.096,0.0133142718318289,500,1,0.182,0.0178016370096766,500,1
35,252,0.092,0.0135790974076427,500,1,0.196,0.0182259953131454,500,1
36,259,0.072,0.0138661523526512,500,1,0.25,0.0186473823213349,500,1
37,266,0.112,0.0141004646173079,500,1,0.264,0.0190261613864311,500,1
38,273,0.122,0.0142564010060033,500,1,0.264,0.019407062827957,500,1
39,280,0.106,0.0145166913919224,500,1,0.266,0.0197532041256058,500,1
40,287,0.148,0.0146256028114658,500,1,0.274,0.0200843024345708,500,1
41,294,0.128,0.0149039437641802,500,1,0.308,0.0203905594005224,500,1
42,301,0.132,0.0150591881982082,500,1,0.304,0.0206795844841201,500,1
43,308,0.132,0.0153701827284549,500,1,0.338,0.0209410289919359,500,1
44,315,0.116,0.0156839616944092,500,1,0.29,0.0211758344148398,500,1
45,322,0.158,0.0160872089943145,500,1,0.356,0.0213902798266206,500,1
46,329,0.144,0.0163721064418826,500,1,0.36,0.0215963150460405,500,1
47,336,0.164,0.016805870870137,500,1,0.386,0.0217705829241301,500,1
48,343,0.212,0.0172400422885832,500,1,0.396,0.0219247559227855,500,1
49,350,0.206,0.0176457966975354,500,1,0.404,0.0220589213412771,500,1
50,357,0.18,0.0180678366744855,500,1,0.442,0.0221710132076698,500,1
51,364,0.212,0.0185414231050008,500,1,0.418,0.0222552950533174,500,1
52,371,0.26,0.0189544327159172,500,1,0.442,0.0223179220282098,500,1
53,378,0.236,0.0194001090881879,500,1,0.48,0.0223528849050035,500,1
54,385,0.274,0.0197912995985818,500,1,0.54,0.0223594457403269,500,1
55,392,0.304,0.0201168900541135,500,1,0.53,0.0223337426315195,500,1
56,399,0.274,0.0203668072607435,500,1,0.534,0.0222730207911235,500,1
